text,created_at,sentiment
"RT @neer_Y1: 🚨 Yesterday, my custom AI agent ignored 3 shutdown commands. I thought it was a bug.

Then I read the research coming out of S…",2025-07-12 05:00:25,-0.3182
"RT @GlobalCryptoFed: 🔥 IT’S TIME. $HUMAN LAUNCHES TODAY.

Not just a token — a movement to remind the world that humans matter.

⚔️ On a mi…",2025-07-12 05:00:23,-0.3182
"RT @koraykv: Very excited to share that @windsurf_ai co-founders @_mohansolo &amp; Douglas Chen, and some of their talented team have joined @G…",2025-07-12 05:00:23,0.8155
"RT @CashbackGoose: @Canada @OpenAI @WRPSToday @BurgerKing they tried to say

it was the ghost of tim cook

but explain how he is alive and…",2025-07-12 05:00:19,0.4118
"BREAKING: $GOOGL secures Windsurf Tech with $2.4 billion deal, hiring CEO Varun Mohan to boost AI capabilities after collapsed acquisition with OpenAI. google enhances its AI game",2025-07-12 05:00:10,0.4404
"I just spent 2 hours trying to fix my website's AI integration

Turns out the problem?

I had no credits in my OpenAI account.

The AI wasn’t broken, it was just broke.

So I try to pay.

Credit card? Declined.

Try another. Denied.

Another? REJECTED.

Nothing. Worked.",2025-07-12 05:00:04,-0.9431
RT @lintool: It’s been 36 hours since Grok 4 launched and we have an early verdict based on 6K+ preferences of @yupp_ai users globally on r…,2025-07-12 05:00:03,0.2732
"@Canada @OpenAI @WRPSToday @BurgerKing they tried to say

it was the ghost of tim cook

but explain how he is alive and well",2025-07-12 05:00:03,0.6597
"RT @JonErlichman: Things Elon Musk unveiled over a decade:

Boring Co.
Crew Dragon
Cybercab
Cybertruck
DOGE
Dojo
Falcon Heavy
FSD
Grok 1,2,…",2025-07-12 04:59:52,-0.3182
"Open season more than OpenAI these days. The poaching and deal making going on is really intriguing

Sounds like Microsoft is gaining the upper hand here (good)  and Google is the beneficiary with the Windsurf drama. 

Meanwhile, xAI is raising again

And Meta is maybe playing https://t.co/CylleZQL6d",2025-07-12 04:59:28,0.9389
"RT @haydenfield: Scoop: OpenAI's Windsurf deal is off. The startup's CEO, co-founder &amp; some R&amp;D team members are all going to Google DeepMi…",2025-07-12 04:59:26,0.1531
"LONG STORY SHORT WHAT HAPPENING WITH OPENai

OpenAI and its CEO Sam Altman (@sama) are facing significant challenges:

- Lost nearly half of their key talent in the past two weeks.
- Most of their leadership team has departed over the last two years.
- Sam Altman informed",2025-07-12 04:59:05,0.3818
